type,name,phone_number,content,address,college,
술집,벌교꼬막주막태,010-3171-4377,음료수 500ml 또는 날치알 주먹밥 제공,충북 청주시 상당구 중앙로 14-1,경영대,
술집,이가네 전집,043-277-2003,테이블 당 음료수 1개 / 현금 계산 시 5% 할인,충북 청주시 흥덕구 내수동로42번길 19,경영대,
술집,오작교,010-6899-7205,안주 2개 이상 시킬 시 소주 한 병 서비스,충북 청주시 서원구 내수동로108번길 23,경영대,
술집,장미맨숀,070-5111-7586,곱도리탕이나 닭도리탕 주문 시 날치알 주먹밥 제공,충북 청주시 서원구 내수동로114번길 41,경영대,
술집,443st,010-5917-2112,"테이블 당 음료 제공 / 50,000원 이상 주문 시 사이드 메뉴 제공 ",충북 청주시 서원구 1순환로674번길 26,경영대,
술집,이팔청춘,010-8844-5274,1인당 2만원 이상 주문 시 빙수 제공 / 10인 미만 단체손님 10만원 이상 주문 시 빙수 + 소주 1병 서비스,충북 청주시 서원구 1순환로672번길 19,경영대,
술집,룸메이트,0507-1302-0823,"5만원 이상 현금 or 계좌이체 시 4,000원 소주 제공 (경영대 학생들만 있을 경우 적용)",충북 청주시 서원구 1순환로674번길 24,경영대,
술집,한식주점 양파링,0507-1309-2523,테이블 당 음료 1개 기본 증정 / 5만원 이상 주문 시 1만원 이내 안주 택 1,충북 청주시 서원구 1순환로674번길 22,경영대,
술집,우메다,043-263-7748,2만원 이상 주문 시 음료수 제공,충북 청주시 서원구 1순환로672번길 48,경영대,
술집,야한 식당,010-6647-0763,음료수 제공,충북 청주시 서원구 1순환로 698,경영대,
술집,뻘건집,043-267-4325,"5만원 이상 주문 시 라면, 음료 중 택 1",충북 청주시 서원구 내수동로114번길 42,경영대,
술집,크라운 호프,043-267-0603,"4만원 이상 주문 시, 1만원 이하의 안주 제공",충북 청주시 서원구 내수동로108번길 11,경영대,
술집,너구리,043-272-9500,물만두 or 음료 서비스 제공,충북 청주시 서원구 1순환로672번길 49,경영대,
술집,부산오뎅,010-9379-8452,현금 10% 할인,충북 청주시 서원구 내수동로114번길 21,경영대,
술집,청춘상회,043-276-6686,5만원 이상 현금 결제 시 10% 할인,충북 청주시 서원구 1순환로672번길 48,경영대,
기타,오렌즈,043-263-8802,"4만원 이상 병렌즈 전 품목 30% 할인 (투명/컬러/난시용 렌즈, 케이스 외 용품은 별도 구매, 타 행사 중복 불가, 포인트 사용 X) / 아큐브 전 품목 30% 할인 (포인트 사용 X) / 3대 글로벌 컬러렌즈 20% 할인 (바슈롬/인터로조/알콘)",충북 청주시 서원구 내수동로 116,경영대,
기타,엔비 휘트니스,043-268-8999,"헬스 3개월 15만원 / 헬스 6개월 29만원 / 헬스 12개월 48만원 / 태닝 10회 12만원 / PT 10회 45만원 5만원 추가 시, 헬스 2개월 / 기구 필라테 20회 30만원, 30회 50만원",충북 청주시 서원구 예체로 55,경영대,
기타,김안과,043-268-4131,경영대학 학생 최대 15% 할인 / 가족까지 할인 가능,충북 청주시 서원구 사직대로 88,경영대,
기타,데이터 케이스,010-3587-6937,구독료 75% 할인,충북 청주시 서원구 충대로 1 충북대학교,경영대,
